Node.Name,Contrast,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
CARD|phgb|U00096|3660413-3663527|ARO:3000796|mdtF|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTC,TimePre...TimePost,-0.365424017564414,-0.975452565860152,0.244604530731324,6.89291690455901,-1.2241528664117,0.2305640446435,0.282542288420421,-7.21749650738887
CARD|phgb|U00096|3415032-3418137|ARO:3000502|acrF|Aminoglycosides|Aminoglycoside_efflux_pumps|ACRF,TimePre...TimePost,-0.302595921719673,-0.911451646412703,0.306259802973356,6.85983555647354,-1.01563439995487,0.318046555293463,0.375757894339734,-7.44872978454626
CARD|phgb|U00096|2155262-2158385|ARO:3000793|mdtB|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTB,TimePre...TimePost,-0.422035580970794,-1.07552629663344,0.231455134691855,6.84070881728876,-1.31977036046821,0.197044186172432,0.244756143201606,-7.09844024988747
CARD|phgb|U00096|2158385-2161463|ARO:3000794|mdtC|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTC,TimePre...TimePost,-0.425645116159621,-1.06214200507934,0.210851772760098,6.83708520948459,-1.36659584182073,0.182059622922463,0.229267431629244,-7.03723473423072
CARD|phgb|NC_007779|2586250-2589364|ARO:3000491|acrD|Aminoglycosides|Aminoglycoside_efflux_pumps|ACRD,TimePre...TimePost,-0.3414064136159,-1.01117764048032,0.328364813248519,6.78142291002585,-1.04167901326014,0.306007444481579,0.363709951565367,-7.42202213102436
CARD|phgb|U00096|2484373-2487967|ARO:3000833|evgS|Multi-drug_resistance|MDR_regulator|EVGS,TimePre...TimePost,0.228535984830046,-0.587158893850344,1.04423086351044,6.48042604041766,0.572552852715479,0.571277949882757,0.622209899458701,-7.80389792476427
Tet|TetW|AJ222769|3687-5606|1920|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,TimePre...TimePost,-0.505634298608271,-1.42157135189806,0.410302754681517,6.45414130221449,-1.62908898362373,0.113908822007838,0.150986525815758,-6.66009685416399
Tet|EU434751.1|gene2|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,TimePre...TimePost,-0.52064947445982,-1.17641033817485,0.135111389255213,6.40149538848509,-1.69744455729652,0.100120832822594,0.137025851380215,-6.55275767327957
Tet|tetW_6_FN396364|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,TimePre...TimePost,-0.562552350640444,-1.60632384942521,0.481219148144322,6.39663081916539,-1.63325018068319,0.113026666229349,0.150321660473377,-6.65366733162115
Tet|tetW_1_DQ060146|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,TimePre...TimePost,-0.526528531428617,-1.46063604065704,0.407578977799802,6.37005113181873,-1.62956555318625,0.113807503204487,0.150986525815758,-6.6593611942435
